Index,39,40,41,42,43,44
ItemCode,6115,6116,6117,6118,6119,6120
MinLevel,21,46,71,91,111,131
MaxLevel,45,70,90,110,130,170
RecordEnableCount,4,4,4,4,4,4
WinerRespownMapIndex,39,40,41,42,43,44
WinerRespownX,253,253,253,253,253,253
WinerRespownY,379,379,379,379,379,379
LoserRespownMapIndex,39,39,39,39,39,39
LoserRespownX,185,185,185,185,185,185
LoserRespownY,401,401,401,401,401,401
EndWarRespownMapIndex,45,45,45,45,45,45
EndWarRespownX,340,340,340,340,340,340
EndWarRespownY,250,250,250,250,250,250
StartPointMapIndex1,39,40,41,42,43,44
StartPointX1,374,374,374,374,374,374
StartPointY1,22,22,22,22,22,22
StartPointMapIndex2,39,40,41,42,43,44
StartPointX2,487,487,487,487,487,487
StartPointY2,97,97,97,97,97,97
StartPointMapIndex3,39,40,41,42,43,44
StartPointX3,497,497,497,497,497,497
StartPointY3,377,377,377,377,377,377
StartPointMapIndex4,39,40,41,42,43,44
StartPointX4,347,347,347,347,347,347
StartPointY4,474,474,474,474,474,474
PvPPintMapIndex1,39,40,41,42,43,44
PvPPointX1,166,166,166,166,166,166
PvPPointY1,372,372,372,372,372,372
PvPPointMapIndex2,39,40,41,42,43,44
PvPPointX2,166,166,166,166,166,166
PvPPointY2,411,411,411,411,411,411
PvPPointMapIndex3,39,40,41,42,43,44
PvPPointX3,187,187,187,187,187,187
PvPPointY3,372,372,372,372,372,372
PvPPointMapIndex4,39,40,41,42,43,44
PvPPointX4,187,187,187,187,187,187
PvPPointY4,411,411,411,411,411,411
ZeoliteIndex1,2945,2957,2969,2981,2993,3059
ZeoliteIndex2,2946,2958,2970,2982,2994,3060
ZeoliteIndex3,2947,2959,2971,2983,2995,3061
ZeoliteIndex4,2948,2960,2972,2984,2996,3062
ZeoliteIndex5,2949,2961,2973,2985,2997,3063
ZeoliteIndex6,2950,2962,2974,2986,2998,3064
ZeoliteIndex7,2951,2963,2975,2987,2999,3065
ZeoliteIndex8,2952,2964,2976,2988,3000,3066
ZeoliteIndex9,2953,2965,2977,2989,3001,3067
ZeoliteIndex10,2954,2966,2978,2990,3002,3068
ZeoliteIndex11,2955,2967,2979,2991,3003,3069
ZeoliteIndex12,2956,2968,2980,2992,3004,3070
