QuestIndex,1361,,,,,

MessageIndex,StringCode,Menu0,Menu1,Menu2,Menu3,Menu4
1,1,0,0,0,0,0
11,11,0,0,0,0,0
12,12,0,0,0,0,0
13,13,0,0,0,0,0
110,110,0,0,0,0,0
1100,1100,0,0,0,0,0
1000,1000,0,0,0,0,0
10000,10000,10001,0,0,0,0
10001,10001,0,0,0,0,0
10010,10010,10011,0,0,0,0
10011,10011,0,0,0,0,0
10020,10020,10021,10022,0,0,0
10021,10021,0,0,0,0,0
10022,10022,0,0,0,0,0
10030,10030,0,0,0,0,0
10040,10040,0,0,0,0,0
11000,11000,0,0,0,0,0
12000,12000,0,0,0,0,0
13000,13000,0,0,0,0,0
15000,15000,15001,0,0,0,0
15001,15001,0,0,0,0,0
15010,15010,15011,0,0,0,0
15011,15011,0,0,0,0,0
20000,20000,20001,0,0,0,0
20001,20001,0,0,0,0,0
99,99,0,0,0,0,0
100,100,0,0,0,0,0
16000,16000,0,0,0,0,0
