QuestIndex,10701,,,,,

MessageIndex,StringCode,Menu0,Menu1,Menu2,Menu3,Menu4
1,1,0,0,0,0,0
11,11,0,0,0,0,0
100,100,0,0,0,0,0
110,110,0,0,0,0,0
200,200,0,0,0,0,0
1100,1100,0,0,0,0,0
10000,10000,10001,10002,0,0,0
10001,10001,0,0,0,0,0
10002,10002,0,0,0,0,0
11000,11000,11001,11002,11003,11004,11005
11001,11001,0,0,0,0,0
11002,11002,0,0,0,0,0
11003,11003,0,0,0,0,0
11004,11004,0,0,0,0,0
11005,11005,0,0,0,0,0
12000,12000,12001,12002,0,0,0
12001,12001,0,0,0,0,0
12002,12002,0,0,0,0,0
20000,20000,0,0,0,0,0
