DungeonIndex,TextFileName
0,Dungeon_0_Braiken.csv
1,Dungeon_01_North_Ares.csv
2,Dungeon_02_Norak.csv
3,Dungeon_03_Deneb.csv
5,Dungeon_05_Haihaff.csv
6,Dungeon_06_Parca.csv
7,Dungeon_07_Loa.csv
8,Dungeon_08_North_Morte.csv
10,Dungeon_10_Castor.csv
11,Dungeon_11_Crevasse.csv
12,Dungeon_12_Crespo.csv
13,Dungeon_13_Draco.csv
14,Dungeon_14_Norak2.csv
15,Dungeon_15_Castor2.csv
17,Dungeon_17_Requies.csv
24,Dungeon_24_InfiniteHunt.csv
25,Dungeon_25_CrespoTreasure.csv
27,Dungeon_27_conscriptA.csv
28,Dungeon_28_conscriptM.csv
29,Dungeon_29_GuardianofTheSeal.csv
30,Dungeon_30_InfiniteHunt.csv
31,Dungeon_31_InfiniteHunt.csv
32,Dungeon_32_CrespoTreasure.csv
33,Dungeon_33_CrespoTreasure.csv
34,Dungeon_34_InfiniteHunt.csv
35,Dungeon_35_NunviceTemple.csv
36,Dungeon_36_NunviceTemple_02.csv
37,Dungeon_37_NunviceTemple_03.csv
38,Dungeon_38_Karon_Ship.csv
39,Dungeon_39_Dead_Front_Rabble.csv
40,Dungeon_40_Dead_Front_Peer.csv
41,Dungeon_41_Dead_Front_Baron.csv
42,Dungeon_42_Dead_Front_Earl.csv
43,Dungeon_43_Dead_Front_Duke.csv
44,Dungeon_44_Dead_Front_Arch.csv
45,Dungeon_45_Chain_of_fire.csv
46,Dungeon_46_Aquirai_Ruins.csv
47,Dungeon_47_Plane_Pilgrimage.csv
48,Dungeon_48_Plane_Pilgrimage_Q.csv
49,Dungeon_49_Cherubim_nest.csv
52,Dungeon_52_Transportship_C.csv
53,Dungeon_53_Transportship_B.csv
54,Dungeon_54_Transportship_A.csv
55,Dungeon_55_Transportship_S.csv
