DungeonIndex,30,,,,,

MessageIndex,StringCode,Menu0,Menu1,Menu2,Menu3,Menu4
1,1,0,0,0,0,0
10,10,0,0,0,0,0
20,20,0,0,0,0,0
30,30,0,0,0,0,0
40,40,0,0,0,0,0
60,60,0,0,0,0,0
100,100,0,0,0,0,0
110,110,0,0,0,0,0
120,120,0,0,0,0,0
200,200,0,0,0,0,0
1000,1000,0,0,0,0,0
2000,2000,0,0,0,0,0
3000,3000,0,0,0,0,0
10000,10000,10001,0,0,0,0
10001,10001,0,0,0,0,0
11010,10010,0,0,0,0,0
20000,20000,20001,0,0,0,0
20001,20001,0,0,0,0,0
30000,30000,0,0,0,0,0
40000,40000,40002,0,0,0,0
40002,40002,0,0,0,0,0
41000,41000,0,0,0,0,0
40010,40010,0,0,0,0,0
