Index,Level Cap Start,Level Cap End,Exp Rate,Chaotic Rate,BLOCKING,BLOCKED,Color_R,Color_G,Color_B
1,32,170,25,0,1,1,255,51,0
2,30,32,30,0,1,1,255,51,0
3,28,30,35,0,1,1,255,51,0
4,26,28,40,0,1,1,255,51,0
5,24,26,45,0,1,1,255,51,0
6,22,24,50,0,1,1,255,51,0
7,20,22,55,0,1,1,255,51,0
8,18,20,60,0,1,1,255,51,0
9,16,18,65,0,1,1,255,51,0
10,14,16,70,0,1,1,255,51,0
11,12,14,75,0,1,1,255,51,0
12,10,12,80,0,1,1,255,51,0
13,8,10,85,0,1,1,255,51,0
14,6,8,90,0,1,1,255,51,0
15,4,6,95,100,1,1,255,51,0
16,0,4,100,100,1,1,255,51,0
17,-4,0,100,100,1,1,255,51,0
18,-6,-4,95,0,1,1,255,51,0
19,-8,-6,90,0,1,1,255,51,0
20,-10,-8,85,0,1,0,255,51,0
21,-12,-10,80,0,0,0,255,51,0
22,-14,-12,75,0,0,0,255,51,0
23,-16,-14,70,0,0,0,255,51,0
24,-18,-16,65,0,0,0,255,51,0
25,-20,-18,60,0,0,0,255,51,0
26,-22,-20,55,0,0,0,255,51,0
27,-24,-22,50,0,0,0,255,51,0
28,-26,-24,45,0,0,0,255,51,0
29,-28,-26,40,0,0,0,255,51,0
30,-30,-28,35,0,0,0,255,51,0
31,-32,-30,30,0,0,0,255,51,0
32,-170,-32,25,0,0,0,255,51,0
