Index,Level Cap Start,Level Cap End,Exp Rate,Chaotic Rate,BLOCKING,BLOCKED,Color_R,Color_G,Color_B
1,24,170,40,0,1,1,255,51,0
2,20,24,50,0,1,1,255,51,0
3,17,20,60,0,1,1,255,51,0
4,14,17,70,0,1,1,255,51,0
5,11,14,75,0,1,1,255,51,0
6,8,11,80,0,1,1,255,51,0
7,5,8,85,100,1,1,255,51,0
8,0,5,100,100,1,1,255,51,0
9,-7,0,100,100,1,1,255,51,0
10,-10,-7,95,0,1,1,255,51,0
11,-12,-10,80,0,1,1,255,51,0
12,-15,-12,70,0,1,1,255,51,0
13,-18,-15,60,0,1,0,255,51,0
14,-21,-18,50,0,0,0,255,51,0
15,-24,-21,40,0,0,0,255,51,0
16,-170,-24,30,0,0,0,255,51,0
