Creature,MONSTER,,,,,,,,,,,,,
Index,2602,,,,,,,,,,,,,
Skeleton,Monster\in_bead_pillar_01.skel,,,,,,,,,,,,,

Style,Action,Index,,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\bead_pillar\in_bead_pillar_01.anim,1,1,3,0,0,0,0,0,0,244,0
0,STAND,1,Monster\bead_pillar\in_bead_pillar_01.anim,1,1,3,0,0,0,0,0,0,244,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\bead_pillar\in_bead_pillar_01.anim,4,1,1,0,0,0.65,0,1,0,0,0
0,ATTACK,9,Monster\bead_pillar\in_bead_pillar_01.anim,4,1,1,0,0,0.65,0,1,0,245,0
0,BLOCKING,0,,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,0,,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,1,,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,2,,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,3,,5,1,1,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\bead_pillar\in_bead_pillar_01_die.anim,4,1,7,0,0,0.1,1,0,0,0,0
0,GUARDING,0,,10,1,1,0,0,0,0,0,0,0,0
0,GUARDING,1,,10,1,1,0,0,0,0,0,0,0,0
0,GUARDING,2,,10,1,1,0,0,0,0,0,0,0,0
