BrickUID,BrickIndex,Revival,RegenCycle,Direction,Location_X,Location_Y
101,36600,0,0,180,399.792,86.522
102,36601,0,0,180,399.983,183.72
103,36607,0,0,0,400.158,265.586
104,36602,0,0,0,400.047,327.995
105,36607,0,0,0,399.98,355.826
106,36608,0,0,270,380.261,328.292
107,36608,0,0,90,419.901,327.937
110,36603,0,0,270,224.336,407.798
109,36608,0,0,270,301.674,407.937
111,36607,0,0,180,247.95,374.619
112,36607,0,0,0,280.059,441.68
113,36610,0,0,90,442.394,479.937
116,36607,0,0,180,39.845,239.113
118,36610,0,0,90,88.651,216.809
117,36607,0,0,180,39.872,191.394
119,36605,0,0,90,161.316,55.749
120,36607,0,0,0,193.859,97.433
123,36609,0,0,180,271.438,95.336
121,36608,0,0,270,166.48,152.111
122,36606,0,0,0,271.971,206.95
108,36609,0,0,0,399.834,431.045
