,Exp,ClearCount_1,ClearCount_2,ClearCount_3,ClearCount_4,ClearCount_5,StatClearCost_1,StatClearCost_2
1,50,100,500,1000,10000,100000,0,0
2,100,100,500,1000,10000,100000,0,0
3,210,130,630,1250,12500,125000,0,0
4,450,160,790,1560,15630,156250,0,0
5,880,200,990,1950,19540,195310,0,0
6,1500,250,1240,2440,24430,244140,0,0
7,2340,310,1550,3050,30540,305180,0,0
8,3430,390,1940,3810,38180,381480,0,0
9,4800,470,2330,4570,45820,457780,0,0
10,6480,560,2800,5480,54980,549340,0,0
11,8500,670,3360,6580,65980,659210,0,0
12,10890,800,4030,7900,79180,791050,0,0
13,13680,960,4840,9480,95020,949260,0,0
14,16900,1150,5810,11380,114020,1139110,0,0
15,20580,1320,6680,13090,131120,1309980,0,0
16,24750,1520,7680,15050,150790,1506480,0,0
17,29440,1750,8830,17310,173410,1732450,0,0
18,34680,2010,10150,19910,199420,1992320,0,0
19,40500,2310,11670,22900,229330,2291170,0,0
20,46930,2660,13420,26340,263730,2634850,0,0
21,54000,2930,14760,28970,290100,2898340,0,0
22,61740,3220,16240,31870,319110,3188170,0,0
23,70180,3540,17860,35060,351020,3506990,0,0
24,79350,3890,19650,38570,386120,3857690,0,0
25,89280,4280,21620,42430,424730,4243460,0,0
26,100000,4710,23780,46670,467200,4667810,0,0
27,111540,5180,26160,51340,513920,5134590,0,0
28,123930,5700,28780,56470,565310,5648050,0,0
29,137200,6270,31660,62120,621840,6212860,0,0
30,151380,6900,34830,68330,684020,6834150,0,0
31,166500,7520,37960,74480,745580,7449220,0,0
32,182590,8200,41380,81180,812680,8119650,0,0
33,199680,8940,45100,88490,885820,8850420,0,0
34,217800,9740,49160,96450,965540,9646960,0,0
35,236980,10620,53580,105130,1052440,10515190,0,0
36,257250,11580,58400,114590,1147160,11461560,0,0
37,278640,12620,63660,124900,1250400,12493100,0,0
38,301180,13760,69390,136140,1362940,13617480,0,0
39,324900,15000,75640,148390,1485600,14843050,0,0
40,349830,16350,82450,161750,1619300,16178920,0,0
41,376000,17660,89050,174690,1748840,17473230,0,0
42,403440,19070,96170,188670,1888750,18871090,0,0
43,432180,20600,103860,203760,2039850,20380780,0,0
44,462250,22250,112170,220060,2203040,22011240,0,0
45,543048,24030,121140,237660,2379280,23772140,0,0
46,658125,25950,130830,256670,2569620,25673910,0,0
47,785036,28030,141300,277200,2775190,27727820,0,0
48,924467,30270,152600,299380,2997210,29946050,0,0
49,1077120,32690,164810,323330,3236990,32341730,0,0
50,1243718,35310,177990,349200,3495950,34929070,0,0
51,1425000,37780,190450,373640,3740670,37374100,0,0
52,1621724,40420,203780,399790,4002520,39990290,0,0
53,1834664,43250,218040,427780,4282700,42789610,0,0
54,2064615,46280,233300,457720,4582490,45784880,0,0
55,2312388,49520,249630,489760,4903260,48989820,0,0
56,2578813,52990,267100,524040,5246490,52419110,0,0
57,2864736,56700,285800,560720,5613740,56088450,0,0
58,3171024,60670,305810,599970,6006700,60014640,0,0
59,3498560,64920,327220,641970,6427170,64215660,0,0
60,3848246,69460,350130,686910,6877070,68710760,0,0
61,4221000,73630,371140,728120,7289690,72833410,0,0
62,4617761,78050,393410,771810,7727070,77203410,0,0
63,5039484,82730,417010,818120,8190690,81835610,0,0
64,5487143,87690,442030,867210,8682130,86745750,0,0
65,5961728,92950,468550,919240,9203060,91950500,0,0
