class,0,1,2,3,4,5
size,1,1,1,1,1,2
name_eng,SWORDMAN,ARCHER,SORCER,SUMMON,SEGNALLE,WARRIOR
name_kor,Azure Knight,Segita Hunter,Incar Magician,Vicious Summoner,Segnale,Bagi Warrior
sex,0,1,1,0,1,0
HP_DEF,0,0,0,0,0,10
MP_DEF,0,0,0,0,0,0
HP_RPS,1,1,1,1,1,1
MP_RPS,1,1,1,1,1,1
SHIELD_RPS,30,30,30,30,30,30
SHIELD_RPS_LF,0.1,0.1,0.1,0.1,0.1,0.1
GUARD_RATE,25,35,30,30,30,35
GUARD_EFFICIENCY,80,70,60,75,60,85
STR_DEF,6,3,2,4,2,6
DEX_DEF,3,6,3,3,5,2
CON_DEF,4,3,2,4,3,5
SPR_DEF,2,3,8,4,4,2
Speed_WALK,2.5,2.5,2.5,2.5,2.5,2.5
HP_UP,26,20,18,23,18,31.5
MP_UP,4,4,8,6,6,4
HP_UP_PER_CON,20,20,20,20,20,23.5
MP_UP_PER_SPR,6,6,10,8,8,6
STR_MELEEDAMAGE_RATIO,3,3,3,3,3,3
LEVEL_MELEEDAMAGE_RATIO,4,3.8,3.5,4,3.5,4
DEX_RANGEDAMAGE_RATIO,3,3,3,3,3,3
LEVEL_RANGEDAMAGE_RATIO,3,4,3.5,3.5,4,3
SPR_MAGICDAMAGE_RATIO,3,3,3,3,3,3
LEVEL_MAGICDAMAGE_RATIO,1.5,1.5,2,1.8,1.9,1.5
CON_DEFENSE_RATIO,1.5,1.5,1.5,1.5,1.5,1.65
LEVEL_DEFENSE_RATIO,2.4,2,1.8,2.1,1.9,2.65
DEFEATRATE_MIN,7,7,7,7,6,8
DEFEATRATE_MAX,40,40,40,40,38,40
BLOCKRATE_MAX,15,15,15,15,15,15
GUARDRATE_MAX,50,70,60,55,60,50
BLOCKDEX_FACTOR,0.01,0.01,0.01,0.01,0.03,0.01
GUARDDEX_FACTOR,0.07,0.09,0.01,0.07,0.06,0.07
EFFICIENCY,1,1,1,1,1,1
HP_WEIGHTPOINT,1.2,1.2,1.2,1.2,1.2,1.2
DEF_WEIGHTPOINT,8,7,7,8,7,8
LEVELWEIGHTPOINT,25,25,25,25,25,25
GUARD_DECREASEFACTOR,9,12,8,10,9,5
PC_PHYSICAL_DAMAGERATE,40,40,40,55,38,40
PC_MAGICAL_DAMAGERATE,30,30,38,30,25,30
STR_MAX,2000,2000,2000,2000,2000,2000
DEX_MAX,2000,2000,2000,2000,2000,2000
CON_MAX,2000,2000,2000,2000,2000,2000
SPR_MAX,2000,2000,2000,2000,2000,2000
Distance,5,5,5,5,5,5
MELEEDAMAGERESIST,0,0,0,0,0,0
RANGEDAMAGERESIST,0,0,0,0,0,0
