39338.58,Name,Rank,Material,Level,MaxHP,HPRecovery,Defence_Min,Defence_Max,GuardRate,GuardEfficiency,BlockRate,PhysicalResist,LightResist,FireResist,IceResist,PoisonResist,CurseResist,WalkSpeed,RunSpeed,BloodInfo,CuttingInfo,ShapeInfo,DescriptionInfo,Exp,Money_Min,Money_Max,Money_Rate,AIKey,ChaoticLevel,MaxItemSet,DefeatLength_Upper,DefeatLength_Lower,DefeatLength_Left,DefeatLength_Right,DefeatDamage_Min,DefeatDamage_Max,AttackMaterial_Melee,AttackDamage_Min_Melee,AttackDamage_Max_Melee,AbsoluteDamage_Min_Melee,AbsoluteDamage_Max_Melee,CellRange_Melee,AttackDelay_Melee,ResultCode_Melee,ResultValue_Melee_1,ResultValue_Melee_2,ResultValue_Melee_3,ResultValue_Melee_4,ResultValue_Melee_5,ResultValue_Melee_6,ResultValue_Melee_7,AttackMaterial_Power_Melee,AttackDamage_Min_Power_Melee,AttackDamage_Max_Power_Melee,AbsoluteDamage_Min_Power_Melee,AbsoluteDamage_Max_Power_Melee,CellRange_Power_Melee,AttackDelay_Power_Melee,ResultCode_Power_Melee,ResultValue_Power_Melee_1,ResultValue_Power_Melee_2,ResultValue_Power_Melee_3,ResultValue_Power_Melee_4,ResultValue_Power_Melee_5,ResultValue_Power_Melee_6,ResultValue_Power_Melee_7,AttackMaterial_Special_Melee,AttackDamage_Min_Special_Melee,AttackDamage_Max_Special_Melee,AbsoluteDamage_Min_Special_Melee,AbsoluteDamage_Max_Special_Melee,CellRange_Special_Melee,AttackDelay_Special_Melee,ResultCode_Special_Melee,ResultValue_Special_Melee_1,ResultValue_Special_Melee_2,ResultValue_Special_Melee_3,ResultValue_Special_Melee_4,ResultValue_Special_Melee_5,ResultValue_Special_Melee_6,ResultValue_Special_Melee_7,AttackMaterial_Range,AttackDamage_Min_Range,AttackDamage_Max_Range,AbsoluteDamage_Min_Range,AbsoluteDamage_Max_Range,CellRange_Range,AttackDelay_Range,ResultCode_Range,ResultValue_Range_1,ResultValue_Range_2,ResultValue_Range_3,ResultValue_Range_4,ResultValue_Range_5,ResultValue_Range_6,ResultValue_Range_7,AttackMaterial_Power_Range,AttackDamage_Min_Power_Range,AttackDamage_Max_Power_Range,AbsoluteDamage_Min_Power_Range,AbsoluteDamage_Max_Power_Range,CellRange_Power_Range,AttackDelay_Power_Range,ResultCode_Power_Range,ResultValue_Power_Range_1,ResultValue_Power_Range_2,ResultValue_Power_Range_3,ResultValue_Power_Range_4,ResultValue_Power_Range_5,ResultValue_Power_Range_6,ResultValue_Power_Range_7,AttackMaterial_Special__Range,AttackDamage_Min_Special__Range,AttackDamage_Max_Special__Range,AbsoluteDamage_Min_Special__Range,AbsoluteDamage_Max_Special__Range,CellRange_Special__Range,AttackDelay_Special__Range,ResultCode_Special__Range,ResultValue_Special__Range_1,ResultValue_Special__Range_2,ResultValue_Special__Range_3,ResultValue_Special__Range_4,ResultValue_Special__Range_5,ResultValue_Special__Range_6,ResultValue_Special__Range_7,AttackMaterial_Heal,AttackDamage_Min_Heal,AttackDamage_Max_Heal,AbsoluteDamage_Min_Heal,AbsoluteDamage_Max_Heal,CellRange_Heal,AttackDelay_Heal,ResultCode_Heal,ResultValue_Heal_1,ResultValue_Heal_2,ResultValue_Heal_3,ResultValue_Heal_4,ResultValue_Heal_5,ResultValue_Heal_6,ResultValue_Heal_7,AttackMaterial_Revive,AttackDamage_Min_Revive,AttackDamage_Max_Revive,AbsoluteDamage_Min_Revive,AbsoluteDamage_Max_Revive,CellRange_Revive,AttackDelay_Revive,ResultCode_Revive,ResultValue_Revive_1,ResultValue_Revive_2,ResultValue_Revive_3,ResultValue_Revive_4,ResultValue_Revive_5,ResultValue_Revive_6,ResultValue_Revive_7,ItemSetIndex_1,ItemSetDropRatio_1,ItemSetIndex_2,ItemSetDropRatio_2,ItemSetIndex_3,ItemSetDropRatio_3,ItemSetIndex_4,ItemSetDropRatio_4,ItemSetIndex_5,ItemSetDropRatio_5,ItemSetIndex_6,ItemSetDropRatio_6,ItemSetIndex_7,ItemSetDropRatio_7,ItemSetIndex_8,ItemSetDropRatio_8,ItemSetIndex_9,ItemSetDropRatio_9,ItemSetIndex_10,ItemSetDropRatio_10,ItemSetIndex_11,ItemSetDropRatio_11,ItemSetIndex_12,ItemSetDropRatio_12,ItemSetIndex_13,ItemSetDropRatio_13,ItemSetIndex_14,ItemSetDropRatio_14,ItemSetIndex_15,ItemSetDropRatio_15,Width
101,Ä§»¯Ö©Öë,0,23,2,258,0,16,23,5,50,1,0,0,0,0,0,0,0.9,2.7,2,3,spiderraba,??????,300,150,250,77500,2,1,1,120,65,70,70,3,20,23,28,36,2,4,2,1730,1000101,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1200,4086,300,1,708,2,708,2,590,2,354,100,629,100,629,101,524,101,315,0,0,400,63,0,0,450,184,0,0,0
102,Îå¶¾²ÊÖë,0,23,4,397,0,24,35,5,50,1,0,0,0,0,0,0,1,3.2,2,3,spider,??????,900,200,300,72500,2,1,1,131,85,90,90,3,20,23,48,60,3,6,2,1970,1000101,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1200,4086,300,1,692,2,692,3,576,4,346,100,615,100,615,101,512,102,308,0,0,400,62,0,0,450,180,0,0,0
103,¶ñÄ§ÆÍÈË,0,18,14,1429,0,69,99,15,50,2,0,0,0,0,0,0,1.5,4.3,1,1,devilworker,??????,4350,850,1200,47500,2,1,1,124,100,105,105,3,20,1,148,185,7,15,2,1780,1000101,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,1200,4086,300,4,525,5,525,6,438,7,263,101,467,102,467,103,389,104,234,501,4,400,47,200,840,450,137,0,0,0
104,¶ñÄ§É¥Ê¬,0,18,10,956,0,51,73,15,50,1,0,0,0,0,0,0,0.9,3,1,1,darkzombie,??????,2880,550,750,57500,2,1,1,130,95,90,90,2,18,1,107,134,5,11,2,1950,1000101,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1200,4086,300,4,643,5,643,6,536,6,322,101,572,101,572,102,476,103,286,501,4,400,58,0,0,450,167,0,0,0
201,ÑÛÄ§,0,18,17,2048,0,83,119,10,50,2,0,0,5,0,0,0,1.3,3.2,1,3,crudenightmare,??????,6090,1200,1650,35000,2,1,1,130,105,100,100,2,18,1,180,225,8,18,2,2130,1000101,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,600,4086,300,0,0,8,325,9,649,10,541,0,0,103,289,104,577,105,481,502,4,400,73,200,1038,450,169,0,0,0
202,¶ñÄ§ÊØÎÀ,0,18,21,2751,0,102,147,10,50,2,0,0,5,0,0,0,1.4,3.4,1,1,yetiirion,??????,7740,1800,2450,35000,4,1,2,120,95,105,105,3,20,6,222,278,9,21,2,2130,1000101,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,600,4086,300,0,0,9,304,10,607,11,506,0,0,103,270,104,540,105,450,502,4,401,68,200,971,450,158,0,0,0
203,¶ñÄ§ÉäÊÖ,0,18,24,3350,0,118,169,15,70,1,0,0,5,0,0,0,1.4,2.3,1,1,yetirionbow,??????,9000,2250,3100,35000,6,1,2,125,100,110,110,3,20,0,256,320,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,156,224,11,24,14,3000,3000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,600,4086,300,0,0,9,298,10,596,11,496,0,0,104,265,105,529,106,441,502,4,401,67,202,953,450,155,0,0,0
204,Ä§»¯ÓãÈË,0,18,27,4011,0,133,191,10,70,1,0,0,40,0,0,0,1.4,3.4,1,1,ukobach,??????,10290,2850,3850,35000,6,1,2,90,61,64,64,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,254,12,27,14,2930,3000001,200,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,600,4086,300,0,0,10,292,11,584,12,487,0,0,105,260,106,519,107,433,502,4,401,65,202,934,450,152,0,0,0
205,¶ñÄ§Ê¹Õß,0,18,30,4737,0,149,213,10,50,2,0,0,5,0,0,0,1.7,3.7,1,2,kunda,??????,11550,3500,4750,35000,1,1,2,130,113,117,117,3,20,1,323,404,13,30,2,1875,1000101,0,0,0,0,0,0,0,0,0,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4086,300,0,0,13,273,14,546,15,455,0,0,105,243,106,485,107,404,502,4,401,61,202,873,451,142,0,0,0
301,òáòæÈË,0,18,16,1699,0,78,112,15,50,2,0,0,0,0,0,0,1.9,3.8,1,1,lizardman,??????,5130,1100,1500,35000,4,1,1,110,70,95,95,2,18,2,169,212,7,17,2,2460,1000101,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,1200,4086,300,5,653,6,653,7,544,8,327,101,580,102,580,103,484,104,290,502,4,400,73,200,1044,450,170,0,0,0
