Index,20001
Name,Guard
Rank,2
Material,23
Level,100
MaxHP,300000
HPRecovery,20
Defence_Min,1000
Defence_Max,1400
GuardRate,25
GuardEfficiency,75
BlockRate,2
PhysicalResist,99
LightResist,80
FireResist,80
IceResist,80
PoisonResist,80
CurseResist,80
WalkSpeed,5
RunSpeed,6.5
BloodInfo,1
CuttingInfo,1
ShapeInfo,br_m_guardman
DescriptionInfo,0
AIKey,1
DefeatLength_Upper,100
DefeatLength_Lower,90
DefeatLength_Left,85
DefeatLength_Right,85
DefeatDamage_Min,80
DefeatDamage_Max,81
AttackMaterial_Melee,9
AttackDamage_Min_Melee,1150
AttackDamage_Max_Melee,2150
AbsoluteDamage_Min_Melee,150
AbsoluteDamage_Max_Melee,250
CellRange_Melee,4
AttackDelay_Melee,1800
ResultCode_Melee,1000101
ResultValue_Melee_1,0
ResultValue_Melee_2,0
ResultValue_Melee_3,0
ResultValue_Melee_4,0
ResultValue_Melee_5,0
ResultValue_Melee_6,0
ResultValue_Melee_7,0
AttackMaterial_Power_Melee,0
AttackDamage_Min_Power_Melee,0
AttackDamage_Max_Power_Melee,0
AbsoluteDamage_Min_Power_Melee,0
AbsoluteDamage_Max_Power_Melee,0
CellRange_Power_Melee,0
AttackDelay_Power_Melee,0
ResultCode_Power_Melee,0
ResultValue_Power_Melee_1,0
ResultValue_Power_Melee_2,0
ResultValue_Power_Melee_3,0
ResultValue_Power_Melee_4,0
ResultValue_Power_Melee_5,0
ResultValue_Power_Melee_6,0
ResultValue_Power_Melee_7,0
AttackMaterial_Special_Melee,0
AttackDamage_Min_Special_Melee,0
AttackDamage_Max_Special_Melee,0
AbsoluteDamage_Min_Special_Melee,0
AbsoluteDamage_Max_Special_Melee,0
CellRange_Special_Melee,0
AttackDelay_Special_Melee,0
ResultCode_Special_Melee,0
ResultValue_Special_Melee_1,0
ResultValue_Special_Melee_2,0
ResultValue_Special_Melee_3,0
ResultValue_Special_Melee_4,0
ResultValue_Special_Melee_5,0
ResultValue_Special_Melee_6,0
ResultValue_Special_Melee_7,0
AttackMaterial_Range,0
AttackDamage_Min_Range,0
AttackDamage_Max_Range,0
AbsoluteDamage_Min_Range,0
AbsoluteDamage_Max_Range,0
CellRange_Range,0
AttackDelay_Range,0
ResultCode_Range,0
ResultValue_Range_1,0
ResultValue_Range_2,0
ResultValue_Range_3,0
ResultValue_Range_4,0
ResultValue_Range_5,0
ResultValue_Range_6,0
ResultValue_Range_7,0
AttackMaterial_Power_Range,0
AttackDamage_Min_Power_Range,0
AttackDamage_Max_Power_Range,0
AbsoluteDamage_Min_Power_Range,0
AbsoluteDamage_Max_Power_Range,0
CellRange_Power_Range,0
AttackDelay_Power_Range,0
ResultCode_Power_Range,0
ResultValue_Power_Range_1,0
ResultValue_Power_Range_2,0
ResultValue_Power_Range_3,0
ResultValue_Power_Range_4,0
ResultValue_Power_Range_5,0
ResultValue_Power_Range_6,0
ResultValue_Power_Range_7,0
AttackMaterial_Special__Range,0
AttackDamage_Min_Special__Range,0
AttackDamage_Max_Special__Range,0
AbsoluteDamage_Min_Special__Range,0
AbsoluteDamage_Max_Special__Range,0
CellRange_Special__Range,0
AttackDelay_Special__Range,0
ResultCode_Special__Range,0
ResultValue_Special__Range_1,0
ResultValue_Special__Range_2,0
ResultValue_Special__Range_3,0
ResultValue_Special__Range_4,0
ResultValue_Special__Range_5,0
ResultValue_Special__Range_6,0
ResultValue_Special__Range_7,0
AttackMaterial_Heal,0
AttackDamage_Min_Heal,0
AttackDamage_Max_Heal,0
AbsoluteDamage_Min_Heal,0
AbsoluteDamage_Max_Heal,0
CellRange_Heal,0
AttackDelay_Heal,0
ResultCode_Heal,0
ResultValue_Heal_1,0
ResultValue_Heal_2,0
ResultValue_Heal_3,0
ResultValue_Heal_4,0
ResultValue_Heal_5,0
ResultValue_Heal_6,0
ResultValue_Heal_7,0
AttackMaterial_Revive,0
AttackDamage_Min_Revive,0
AttackDamage_Max_Revive,0
AbsoluteDamage_Min_Revive,0
AbsoluteDamage_Max_Revive,0
CellRange_Revive,0
AttackDelay_Revive,0
ResultCode_Revive,0
ResultValue_Revive_1,0
ResultValue_Revive_2,0
ResultValue_Revive_3,0
ResultValue_Revive_4,0
ResultValue_Revive_5,0
ResultValue_Revive_6,0
ResultValue_Revive_7,0
LeaveEffectID,0
LeaveSceneID,0
LeaveEffectTime,0
StatusEffectID,0
EnterEffectID,0
IconIndex,0
