Index,EffectID,SceneID,EffectTime,Description,ResultType,MaxDistance,MoveSpeed,Size,MaxPiercingNum,MaxPiercingRate,ContactEffectID,ContactSceneID,ContactEffectTime,PiercingEffectID,PiercingSceneID,PiercingEffectTime,HitCycle
1,1,1,700,기본 화살,1000103,14,20,1,0,0,1,2,300,0,1,0,0
2,1,1,700,관통 화살,1000103,14,20,1,2,80,1,2,300,5,1,500,0
3,1,1,560,기본 볼트,1000103,14,25,1,0,0,1,2,300,0,1,0,0
4,1,1,560,관통 볼트,1000103,14,25,1,2,80,1,2,300,5,1,500,0
10,2001,1,2000,스트라이크 샷,1000103,16,30,1,0,0,2002,1,1000,0,1,0,0
11,2011,1,1000,스퀄 샷,1000103,16,30,1,0,0,2012,1,1000,0,1,0,0
12,2028,1,1000,가이드 샷,1000103,24,40,1,0,0,2030,1,2000,0,1,0,0
13,2015,1,1000,파이어 애로우,1000415,16,30,1,0,0,2016,1,2000,0,1,0,0
14,2017,1,1000,아이스 애로우,1000415,16,30,1,0,0,2018,1,2000,0,1,0,0
15,2019,1,1000,포이즌 애로우,1000415,16,30,1,0,0,2020,1,2000,0,1,0,0
16,2021,1,1000,익스플로우 애로우,1000210,16,30,1,0,0,2022,1,2000,0,1,0,0
17,0,0,2000,피오레 노바스,1000210,10,50,1,3,100,0,0,0,0,0,0,300
18,0,0,1000,사일런트 킬러,1000101,7,80,1,8,100,2093,1,500,0,0,0,0
21,0,0,1600,멀티플 샷 LV 1,1000103,16,40,1,2,25,2005,1,350,0,1,0,0
22,0,0,1600,멀티플 샷 LV 2,1000103,16,40,1,2,30,2005,1,350,0,1,0,0
23,0,0,1600,멀티플 샷 LV 3,1000103,16,40,1,2,30,2005,1,350,0,1,0,0
24,0,0,1600,멀티플 샷 LV 4,1000103,16,40,1,2,35,2005,1,350,0,1,0,0
25,0,0,1600,멀티플 샷 LV 5,1000103,16,40,1,2,35,2005,1,350,0,1,0,0
26,0,0,1600,멀티플 샷 LV 6,1000103,16,40,1,2,40,2005,1,350,0,1,0,0
