Index,50001,50002,50003,50004,50005,50006
Name,[워리어]돌레마이,[매지션]클로에,[매지션]그라니아,[매지션]샤비,[나이트]에단,[헌터]아리스
Rank,2,2,2,2,2,2
Material,23,23,23,23,23,23
Level,100,100,100,100,100,100
MaxHP,300000,150000,150000,150000,250000,200000
HPRecovery,20,20,20,20,20,20
Defence_Min,1000,600,600,600,800,700
Defence_Max,1200,800,800,800,1000,900
GuardRate,25,25,25,25,25,25
GuardEfficiency,75,75,75,75,75,75
BlockRate,2,2,2,2,2,2
PhysicalResist,10,10,10,10,10,10
LightResist,10,10,10,10,10,10
FireResist,10,10,10,10,10,10
IceResist,10,10,10,10,10,10
PoisonResist,10,10,10,10,10,10
CurseResist,10,10,10,10,10,10
WalkSpeed,2.5,2.5,2.5,2.5,2.5,2.5
RunSpeed,5,5,5,5,5,5
BloodInfo,1,1,1,1,1,1
CuttingInfo,1,1,1,1,1,1
ShapeInfo,ptolemais,chloe,grania,chavi,edan,aris
DescriptionInfo,0,0,0,0,0,0
AIKey,1,1,1,1,1,1
DefeatLength_Upper,100,100,100,100,100,100
DefeatLength_Lower,90,90,90,90,90,90
DefeatLength_Left,85,85,85,85,85,85
DefeatLength_Right,85,85,85,85,85,85
DefeatDamage_Min,80,80,80,80,80,80
DefeatDamage_Max,81,81,81,81,81,81
AttackMaterial_Melee,9,0,0,0,9,0
AttackDamage_Min_Melee,2000,0,0,0,2000,0
AttackDamage_Max_Melee,2200,0,0,0,2200,0
AbsoluteDamage_Min_Melee,120,0,0,0,120,0
AbsoluteDamage_Max_Melee,150,0,0,0,150,0
CellRange_Melee,2,0,0,0,2,0
AttackDelay_Melee,1800,0,0,0,1800,0
ResultCode_Melee,1000101,0,0,0,1000101,0
ResultValue_Melee_1,0,0,0,0,30,0
ResultValue_Melee_2,0,0,0,0,0,0
ResultValue_Melee_3,0,0,0,0,0,0
ResultValue_Melee_4,0,0,0,0,0,0
ResultValue_Melee_5,0,0,0,0,0,0
ResultValue_Melee_6,0,0,0,0,0,0
ResultValue_Melee_7,0,0,0,0,0,0
AttackMaterial_Power_Melee,9,0,0,0,9,0
AttackDamage_Min_Power_Melee,2000,0,0,0,2000,0
AttackDamage_Max_Power_Melee,2200,0,0,0,2200,0
AbsoluteDamage_Min_Power_Melee,120,0,0,0,120,0
AbsoluteDamage_Max_Power_Melee,150,0,0,0,150,0
CellRange_Power_Melee,2,0,0,0,2,0
AttackDelay_Power_Melee,1800,0,0,0,1800,0
ResultCode_Power_Melee,1100331,0,0,0,1000414,0
ResultValue_Power_Melee_1,256,0,0,0,25,0
ResultValue_Power_Melee_2,0,0,0,0,0,0
ResultValue_Power_Melee_3,0,0,0,0,100,0
ResultValue_Power_Melee_4,0,0,0,0,9000,0
ResultValue_Power_Melee_5,0,0,0,0,5000,0
ResultValue_Power_Melee_6,0,0,0,0,0,0
ResultValue_Power_Melee_7,0,0,0,0,0,0
AttackMaterial_Special_Melee,0,0,0,0,0,0
AttackDamage_Min_Special_Melee,0,0,0,0,0,0
AttackDamage_Max_Special_Melee,0,0,0,0,0,0
AbsoluteDamage_Min_Special_Melee,0,0,0,0,0,0
AbsoluteDamage_Max_Special_Melee,0,0,0,0,0,0
CellRange_Special_Melee,0,0,0,0,0,0
AttackDelay_Special_Melee,0,0,0,0,0,0
ResultCode_Special_Melee,0,0,0,0,0,0
ResultValue_Special_Melee_1,0,0,0,0,0,0
ResultValue_Special_Melee_2,0,0,0,0,0,0
ResultValue_Special_Melee_3,0,0,0,0,0,0
ResultValue_Special_Melee_4,0,0,0,0,0,0
ResultValue_Special_Melee_5,0,0,0,0,0,0
ResultValue_Special_Melee_6,0,0,0,0,0,0
ResultValue_Special_Melee_7,0,0,0,0,0,0
AttackMaterial_Range,0,9,9,9,0,9
AttackDamage_Min_Range,0,2000,2000,2000,0,2000
AttackDamage_Max_Range,0,2200,2200,2200,0,2200
AbsoluteDamage_Min_Range,0,120,120,120,0,120
AbsoluteDamage_Max_Range,0,150,150,150,0,150
CellRange_Range,0,14,14,14,0,14
AttackDelay_Range,0,1800,1800,1800,0,1800
ResultCode_Range,0,3000001,3000001,3000001,0,3000001
ResultValue_Range_1,0,601,603,605,0,1
ResultValue_Range_2,0,40,40,40,0,40
ResultValue_Range_3,0,0,0,0,0,0
ResultValue_Range_4,0,100,100,100,0,0
ResultValue_Range_5,0,9020,9040,9060,0,0
ResultValue_Range_6,0,3000,5000,3000,0,0
ResultValue_Range_7,0,0,0,0,0,0
AttackMaterial_Power_Range,0,9,9,9,0,9
AttackDamage_Min_Power_Range,0,2000,2000,2000,0,2000
AttackDamage_Max_Power_Range,0,2200,2200,2200,0,2200
AbsoluteDamage_Min_Power_Range,0,120,120,120,0,120
AbsoluteDamage_Max_Power_Range,0,150,150,150,0,150
CellRange_Power_Range,0,14,14,14,0,14
AttackDelay_Power_Range,0,1800,1800,1800,0,1800
ResultCode_Power_Range,0,3000001,3000001,3000001,0,3000001
ResultValue_Power_Range_1,0,602,604,606,0,607
ResultValue_Power_Range_2,0,512,512,512,0,40
ResultValue_Power_Range_3,0,60,60,60,0,0
ResultValue_Power_Range_4,0,0,0,0,0,0
ResultValue_Power_Range_5,0,0,0,0,0,0
ResultValue_Power_Range_6,0,0,0,0,0,0
ResultValue_Power_Range_7,0,0,0,0,0,0
AttackMaterial_Special__Range,0,0,0,0,0,0
AttackDamage_Min_Special__Range,0,0,0,0,0,0
AttackDamage_Max_Special__Range,0,0,0,0,0,0
AbsoluteDamage_Min_Special__Range,0,0,0,0,0,0
AbsoluteDamage_Max_Special__Range,0,0,0,0,0,0
CellRange_Special__Range,0,0,0,0,0,0
AttackDelay_Special__Range,0,0,0,0,0,0
ResultCode_Special__Range,0,0,0,0,0,0
ResultValue_Special__Range_1,0,0,0,0,0,0
ResultValue_Special__Range_2,0,0,0,0,0,0
ResultValue_Special__Range_3,0,0,0,0,0,0
ResultValue_Special__Range_4,0,0,0,0,0,0
ResultValue_Special__Range_5,0,0,0,0,0,0
ResultValue_Special__Range_6,0,0,0,0,0,0
