2007-07-16 16:03,From_LocationIndex,Rect_X,Rect_Y,To_LocationIndex,Seige,Dengeon
1001,1001,9,3,1002,0,0
1003,1003,11,8,1004,0,0
1005,1005,8,3,1006,0,0
1007,1007,12,8,1008,0,0
1011,1011,2,4,1012,0,0
1017,1017,6,5,1018,0,0
1019,1019,4,4,1020,0,0
1023,1023,12,10,1024,0,0
1025,1025,3,7,1026,0,0
1027,1027,11,7,1028,0,0
1029,1029,2,7,1030,0,0
1031,1031,5,3,1032,0,0
1035,1035,9,10,1036,0,0
1039,1039,4,5,1040,0,0
1041,1041,10,5,1042,0,0
1043,1043,4,3,1044,0,0
1045,1045,9,7,1046,0,0
1047,1047,2,2,1048,0,0
1049,1049,3,2,1050,0,0
1051,1051,13,7,1052,0,0
1055,1055,10,6,1056,0,0
1059,1059,10,8,1060,0,0
1061,1061,5,9,1062,0,0
1063,1063,10,10,1064,0,0
1065,1065,3,5,1066,0,0
1069,1069,1,3,1070,0,0
1073,1073,3,3,1074,0,0
1075,1075,2,5,1076,0,0
1077,1077,4,6,1078,0,0
1079,1079,4,2,1080,0,0
1081,1081,1,1,1082,0,0
1083,1083,2,2,1084,0,0
1085,1085,1,1,1086,0,0
1087,1087,3,3,1088,0,0
1089,1089,2,2,1090,0,0
1091,1091,4,2,1092,0,0
1093,1093,2,3,1094,0,0
1095,1095,1,4,1096,0,0
1097,1097,5,3,1098,0,0
1099,1099,2,3,1100,0,0
1101,1101,3,3,1102,0,0
1103,1103,3,3,1104,0,0
1105,1105,1,1,1106,0,0
1107,1107,1,1,1108,0,0
1109,1109,1,1,1110,0,0
1111,1111,1,1,1112,0,0
1113,1113,1,1,1114,0,0
1115,1115,1,1,1116,0,0
1117,1117,1,1,1118,0,0
1119,1119,1,1,1120,0,0
1121,1121,1,1,1122,0,0
1123,1123,1,1,1124,0,0
1125,1125,1,1,1126,0,0
1127,1127,1,1,1128,0,0
1129,1129,1,1,1130,0,0
1131,1131,1,1,1132,0,0
1135,1135,6,6,1136,0,0
1137,1137,1,1,1138,0,0
1139,1139,1,1,1140,0,0
1141,1141,1,1,1142,0,0
1143,1143,1,1,1144,0,0
1145,1145,1,1,1146,0,0
1147,1147,1,1,1148,0,0
1149,1149,1,1,1150,0,0
1151,1151,1,1,1152,0,0
1153,1153,1,1,1154,0,0
1155,1155,1,1,1156,0,0
1157,1157,4,4,1158,0,0
1159,1159,1,1,1160,0,0
1161,1161,1,1,1162,0,0
1163,1163,1,1,1164,0,0
1165,1165,1,1,1166,0,0
1167,1167,3,4,1168,0,0
1169,1169,1,1,1170,0,0
1171,1171,1,1,1172,0,0
1173,1173,1,1,1174,0,0
1175,1175,2,4,1176,0,0
10000,10000,1,1,10001,0,0
20000,20000,1,1,20001,0,0
11000,11000,1,1,11001,0,0
11002,11002,1,1,11003,0,0
11004,11004,1,1,11005,0,0
11006,11006,1,1,11007,0,0
11008,11008,1,1,11009,0,0
11010,11010,1,1,11011,0,0
11012,11012,1,1,11013,0,0
11014,11014,1,1,11015,0,0
11016,11016,1,1,11017,0,0
11018,11018,1,1,11019,0,0
11020,11020,1,1,11021,0,0
11022,11022,1,1,11023,0,0
11024,11024,1,1,11025,0,0
11026,11026,1,1,11027,0,0
11028,11028,1,1,11029,0,0
11030,11030,1,1,11031,0,0
11032,11032,1,1,11033,0,0
11034,11034,1,1,11035,0,0
11036,11036,1,1,11037,0,0
11038,11038,2,5,11039,0,0
11040,11040,1,1,11041,0,0
11042,11042,1,1,11043,0,0
11050,11050,3,3,11051,1,0
11052,11052,3,3,11053,1,0
11054,11054,3,3,11055,1,0
11056,11056,3,3,11057,1,0
11058,11058,3,3,11059,1,0
11060,11060,3,3,11061,1,0
11062,11062,3,3,11063,1,0
11064,11064,3,3,11065,1,0
11066,11066,3,3,11067,1,0
11068,11068,3,3,11069,1,0
11076,11076,3,3,11077,1,0
11078,11078,3,3,11079,1,0
11080,11080,3,4,11081,1,0
11082,11082,3,3,11083,1,0
11084,11084,3,4,11085,0,1
11086,11086,3,4,11087,0,1
11088,11088,3,4,11089,0,1
11090,11090,4,3,11091,0,1
11092,11092,3,4,11093,0,1
11094,11094,3,4,11095,0,1
11096,11096,3,4,11097,0,1
11098,11098,3,4,11099,0,1
11100,11100,4,3,11101,0,1
11102,11102,3,4,11103,0,1
11104,11104,3,4,11105,0,1
11106,11106,3,4,11107,0,1
11108,11108,3,4,11109,0,1
11110,11110,4,3,11111,0,1
11112,11112,3,4,11113,0,1
11114,11114,2,2,11115,0,1
11116,11116,2,2,11117,0,1
11118,11118,2,2,11119,0,1
11120,11120,4,6,11121,0,0
11122,11122,4,5,11123,0,0
11124,11124,5,4,11125,0,0
11126,11126,5,4,11127,0,0
11128,11128,5,4,11129,0,0
11130,11130,5,4,11131,0,0
11132,11132,5,4,11133,0,0
11134,11134,5,4,11135,0,0
11136,11136,3,4,11137,0,0
11138,11138,3,4,11139,0,0
11140,11140,3,4,11141,0,0
11142,11142,3,4,11143,0,0
11144,11144,3,4,11145,0,0
11146,11146,3,4,11147,0,0
11148,11148,1,1,11149,0,0
11150,11150,3,3,11151,0,0
11152,11152,1,1,11153,0,0
11154,11154,1,1,11155,0,0
11156,11156,4,4,11157,0,0
11158,11158,1,1,11159,0,0
11160,11160,2,2,11161,0,0
11162,11162,2,2,11163,0,0
11164,11164,2,2,11165,0,0
11166,11166,2,2,11167,0,0
11168,11168,2,2,11169,0,0
11170,11170,2,2,11171,0,0
11172,11172,2,2,11173,0,0
11174,11174,3,3,11175,0,0
11176,11176,2,4,11177,0,0
