2006.08.24 18:16,Teleport_StringIndex,UnitCount,UnitIndex_1,LocationIndex_1,String_1,Cost_1,Level_1,UnitIndex_2,LocationIndex_2,String_2,Cost_2,Level_2,UnitIndex_3,LocationIndex_3,String_3,Cost_3,Level_3,UnitIndex_4,LocationIndex_4,String_4,Cost_4,Level_4,UnitIndex_5,LocationIndex_5,String_5,Cost_5,Level_5,UnitIndex_6,LocationIndex_6,String_6,Cost_6,Level_6,UnitIndex_7,LocationIndex_7,String_7,Cost_7,Level_7,UnitIndex_8,LocationIndex_8,String_8,Cost_8,Level_8,UnitIndex_9,LocationIndex_9,String_9,Cost_9,Level_9
101,1,7,1,110,100,80,1,2,101,200,80,1,3,103,300,20,15,4,104,400,80,30,5,109,500,600,40,6,105,600,1000,50,7,112,700,7000,65,8,0,0,1,115,9,0,0,1,1
102,1,7,1,111,100,80,1,2,102,200,80,1,3,103,300,20,15,4,104,400,80,30,5,109,500,600,40,6,106,600,1000,50,7,112,700,7000,65,8,0,0,0,0,9,0,0,0,0
103,1,6,1,111,100,20,1,2,102,200,20,1,3,110,300,20,1,4,101,400,20,1,5,104,500,20,30,6,109,600,400,40,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
104,1,7,1,111,100,80,1,2,102,200,80,1,3,110,300,80,1,4,101,400,80,1,5,103,500,30,20,6,109,600,200,40,7,113,700,6000,55,8,0,0,0,0,9,0,0,0,0
105,1,7,1,110,100,80,1,2,101,200,80,1,3,103,300,20,15,4,104,400,80,30,5,109,500,600,40,6,105,600,1000,50,7,112,700,7000,65,8,0,0,0,0,9,0,0,0,0
106,1,7,1,111,100,80,1,2,102,200,80,1,3,103,300,20,15,4,104,400,80,30,5,109,500,600,40,6,106,600,1000,50,7,112,700,7000,65,8,0,0,0,0,9,0,0,0,0
107,1,7,1,110,100,10000,65,2,101,200,10000,65,3,111,300,10000,65,4,102,400,10000,65,5,113,500,6000,55,6,114,600,7000,77,7,115,700,10000,85,8,0,0,0,0,9,0,0,0,0
108,1,2,1,104,100,6000,55,2,112,200,6000,65,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
109,1,5,1,111,100,14000,77,2,102,200,14000,77,3,110,300,14000,77,4,101,400,14000,77,5,112,500,7000,77,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
110,1,1,1,116,100,10000,85,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
111,1,1,1,115,100,10000,85,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
112,1,2,1,120,100,0,0,2,121,200,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
113,1,1,1,11149,100,500000,130,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
114,1,6,1,116,100,0,85,2,114,200,0,77,3,115,300,0,85,4,124,400,0,90,5,125,500,0,95,6,126,600,0,105,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
115,1,7,1,103,100,0,15,2,104,200,0,30,3,109,300,0,45,4,122,400,0,50,5,123,500,0,50,6,113,600,0,55,7,112,700,0,65,8,0,0,0,0,9,0,0,0,0
116,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
117,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
118,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
119,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
120,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0
