아이템 코드,인덱스( 1~10 아이템 레벨과 동일 ),강화석 아이템인덱스( 레벨에 따른 강화석 아이템 ),소요비용(Dil),Upgraade Rate( 1~100 % ),패널티(0~4),0
SHORT_SWORD,0,9901,10000,90,BACK_TO_ZERO,0
SHORT_SWORD,1,9901,20000,80,BACK_TO_ZERO,0
SHORT_SWORD,2,9901,50000,70,BACK_TO_ZERO,0
SHORT_SWORD,3,9903,100000,55,BACK_TO_ZERO,0
SHORT_SWORD,4,9903,200000,40,BACK_TO_ZERO,0
SHORT_SWORD,5,9903,500000,25,BACK_TO_ZERO,0
SHORT_SWORD,6,9902,1000000,15,ALLITEM_DESTRUCT,0
SHORT_SWORD,7,9902,1500000,10,ALLITEM_DESTRUCT,0
SHORT_SWORD,8,9902,2000000,5,ALLITEM_DESTRUCT,0

SWORD,0,9901,10000,90,BACK_TO_ZERO,0
SWORD,1,9901,20000,80,BACK_TO_ZERO,0
SWORD,2,9901,50000,70,BACK_TO_ZERO,0
SWORD,3,9903,100000,55,BACK_TO_ZERO,0
SWORD,4,9903,200000,40,BACK_TO_ZERO,0
SWORD,5,9903,500000,25,BACK_TO_ZERO,0
SWORD,6,9902,1000000,15,ALLITEM_DESTRUCT,0
SWORD,7,9902,1500000,10,ALLITEM_DESTRUCT,0
SWORD,8,9902,2000000,5,ALLITEM_DESTRUCT,0

LONG_SWORD,0,9901,10000,90,BACK_TO_ZERO,0
LONG_SWORD,1,9901,20000,80,BACK_TO_ZERO,0
LONG_SWORD,2,9901,50000,70,BACK_TO_ZERO,0
LONG_SWORD,3,9903,100000,55,BACK_TO_ZERO,0
LONG_SWORD,4,9903,200000,40,BACK_TO_ZERO,0
LONG_SWORD,5,9903,500000,25,BACK_TO_ZERO,0
LONG_SWORD,6,9902,1000000,15,ALLITEM_DESTRUCT,0
LONG_SWORD,7,9902,1500000,10,ALLITEM_DESTRUCT,0
LONG_SWORD,8,9902,2000000,5,ALLITEM_DESTRUCT,0

GREAT_SWORD,0,9901,10000,90,BACK_TO_ZERO,0
GREAT_SWORD,1,9901,20000,80,BACK_TO_ZERO,0
GREAT_SWORD,2,9901,50000,70,BACK_TO_ZERO,0
GREAT_SWORD,3,9903,100000,55,BACK_TO_ZERO,0
GREAT_SWORD,4,9903,200000,40,BACK_TO_ZERO,0
GREAT_SWORD,5,9903,500000,25,BACK_TO_ZERO,0
GREAT_SWORD,6,9902,1000000,15,ALLITEM_DESTRUCT,0
GREAT_SWORD,7,9902,1500000,10,ALLITEM_DESTRUCT,0
GREAT_SWORD,8,9902,2000000,5,ALLITEM_DESTRUCT,0

SPEAR,0,9901,10000,90,BACK_TO_ZERO,0
SPEAR,1,9901,20000,80,BACK_TO_ZERO,0
SPEAR,2,9901,50000,70,BACK_TO_ZERO,0
SPEAR,3,9903,100000,55,BACK_TO_ZERO,0
SPEAR,4,9903,200000,40,BACK_TO_ZERO,0
SPEAR,5,9903,500000,25,BACK_TO_ZERO,0
SPEAR,6,9902,1000000,15,ALLITEM_DESTRUCT,0
SPEAR,7,9902,1500000,10,ALLITEM_DESTRUCT,0
SPEAR,8,9902,2000000,5,ALLITEM_DESTRUCT,0

POLEARM,0,9901,10000,90,BACK_TO_ZERO,0
POLEARM,1,9901,20000,80,BACK_TO_ZERO,0
POLEARM,2,9901,50000,70,BACK_TO_ZERO,0
POLEARM,3,9903,100000,55,BACK_TO_ZERO,0
POLEARM,4,9903,200000,40,BACK_TO_ZERO,0
POLEARM,5,9903,500000,25,BACK_TO_ZERO,0
POLEARM,6,9902,1000000,15,ALLITEM_DESTRUCT,0
POLEARM,7,9902,1500000,10,ALLITEM_DESTRUCT,0
POLEARM,8,9902,2000000,5,ALLITEM_DESTRUCT,0

MACE,0,9901,10000,90,BACK_TO_ZERO,0
MACE,1,9901,20000,80,BACK_TO_ZERO,0
MACE,2,9901,50000,70,BACK_TO_ZERO,0
MACE,3,9903,100000,55,BACK_TO_ZERO,0
MACE,4,9903,200000,40,BACK_TO_ZERO,0
MACE,5,9903,500000,25,BACK_TO_ZERO,0
MACE,6,9902,1000000,15,ALLITEM_DESTRUCT,0
MACE,7,9902,1500000,10,ALLITEM_DESTRUCT,0
MACE,8,9902,2000000,5,ALLITEM_DESTRUCT,0

GREAT_MACE,0,9901,10000,90,BACK_TO_ZERO,0
GREAT_MACE,1,9901,20000,80,BACK_TO_ZERO,0
GREAT_MACE,2,9901,50000,70,BACK_TO_ZERO,0
GREAT_MACE,3,9903,100000,55,BACK_TO_ZERO,0
GREAT_MACE,4,9903,200000,40,BACK_TO_ZERO,0
GREAT_MACE,5,9903,500000,25,BACK_TO_ZERO,0
GREAT_MACE,6,9902,1000000,15,ALLITEM_DESTRUCT,0
GREAT_MACE,7,9902,1500000,10,ALLITEM_DESTRUCT,0
GREAT_MACE,8,9902,2000000,5,ALLITEM_DESTRUCT,0

AX,0,9901,10000,90,BACK_TO_ZERO,0
AX,1,9901,20000,80,BACK_TO_ZERO,0
AX,2,9901,50000,70,BACK_TO_ZERO,0
AX,3,9903,100000,55,BACK_TO_ZERO,0
AX,4,9903,200000,40,BACK_TO_ZERO,0
AX,5,9903,500000,25,BACK_TO_ZERO,0
AX,6,9902,1000000,15,ALLITEM_DESTRUCT,0
AX,7,9902,1500000,10,ALLITEM_DESTRUCT,0
AX,8,9902,2000000,5,ALLITEM_DESTRUCT,0

GREAT_AX,0,9901,10000,90,BACK_TO_ZERO,0
GREAT_AX,1,9901,20000,80,BACK_TO_ZERO,0
GREAT_AX,2,9901,50000,70,BACK_TO_ZERO,0
GREAT_AX,3,9903,100000,55,BACK_TO_ZERO,0
GREAT_AX,4,9903,200000,40,BACK_TO_ZERO,0
GREAT_AX,5,9903,500000,25,BACK_TO_ZERO,0
GREAT_AX,6,9902,1000000,15,ALLITEM_DESTRUCT,0
GREAT_AX,7,9902,1500000,10,ALLITEM_DESTRUCT,0
GREAT_AX,8,9902,2000000,5,ALLITEM_DESTRUCT,0

BOW,0,9901,10000,90,BACK_TO_ZERO,0
BOW,1,9901,20000,80,BACK_TO_ZERO,0
BOW,2,9901,50000,70,BACK_TO_ZERO,0
BOW,3,9903,100000,55,BACK_TO_ZERO,0
BOW,4,9903,200000,40,BACK_TO_ZERO,0
BOW,5,9903,500000,25,BACK_TO_ZERO,0
BOW,6,9902,1000000,15,ALLITEM_DESTRUCT,0
BOW,7,9902,1500000,10,ALLITEM_DESTRUCT,0
BOW,8,9902,2000000,5,ALLITEM_DESTRUCT,0

CROSS_BOW,0,9901,10000,90,BACK_TO_ZERO,0
CROSS_BOW,1,9901,20000,80,BACK_TO_ZERO,0
CROSS_BOW,2,9901,50000,70,BACK_TO_ZERO,0
CROSS_BOW,3,9903,100000,55,BACK_TO_ZERO,0
CROSS_BOW,4,9903,200000,40,BACK_TO_ZERO,0
CROSS_BOW,5,9903,500000,25,BACK_TO_ZERO,0
CROSS_BOW,6,9902,1000000,15,ALLITEM_DESTRUCT,0
CROSS_BOW,7,9902,1500000,10,ALLITEM_DESTRUCT,0
CROSS_BOW,8,9902,2000000,5,ALLITEM_DESTRUCT,0

STAFF,0,9901,10000,90,BACK_TO_ZERO,0
STAFF,1,9901,20000,80,BACK_TO_ZERO,0
STAFF,2,9901,50000,70,BACK_TO_ZERO,0
STAFF,3,9903,100000,55,BACK_TO_ZERO,0
STAFF,4,9903,200000,40,BACK_TO_ZERO,0
STAFF,5,9903,500000,25,BACK_TO_ZERO,0
STAFF,6,9902,1000000,15,ALLITEM_DESTRUCT,0
STAFF,7,9902,1500000,10,ALLITEM_DESTRUCT,0
STAFF,8,9902,2000000,5,ALLITEM_DESTRUCT,0

WAND,0,9901,10000,90,BACK_TO_ZERO,0
WAND,1,9901,20000,80,BACK_TO_ZERO,0
WAND,2,9901,50000,70,BACK_TO_ZERO,0
WAND,3,9903,100000,55,BACK_TO_ZERO,0
WAND,4,9903,200000,40,BACK_TO_ZERO,0
WAND,5,9903,500000,25,BACK_TO_ZERO,0
WAND,6,9902,1000000,15,ALLITEM_DESTRUCT,0
WAND,7,9902,1500000,10,ALLITEM_DESTRUCT,0
WAND,8,9902,2000000,5,ALLITEM_DESTRUCT,0

SHIELD,0,9901,10000,90,BACK_TO_ZERO,0
SHIELD,1,9901,16000,80,BACK_TO_ZERO,0
SHIELD,2,9901,40000,70,BACK_TO_ZERO,0
SHIELD,3,9903,80000,55,BACK_TO_ZERO,0
SHIELD,4,9903,160000,40,BACK_TO_ZERO,0
SHIELD,5,9903,400000,25,BACK_TO_ZERO,0
SHIELD,6,9902,800000,15,ALLITEM_DESTRUCT,0
SHIELD,7,9902,1200000,10,ALLITEM_DESTRUCT,0
SHIELD,8,9902,1600000,5,ALLITEM_DESTRUCT,0

TWIN_SWORD,0,9901,10000,90,BACK_TO_ZERO,0
TWIN_SWORD,1,9901,20000,80,BACK_TO_ZERO,0
TWIN_SWORD,2,9901,50000,70,BACK_TO_ZERO,0
TWIN_SWORD,3,9903,100000,55,BACK_TO_ZERO,0
TWIN_SWORD,4,9903,200000,40,BACK_TO_ZERO,0
TWIN_SWORD,5,9903,500000,25,BACK_TO_ZERO,0
TWIN_SWORD,6,9902,1000000,15,ALLITEM_DESTRUCT,0
TWIN_SWORD,7,9902,1500000,10,ALLITEM_DESTRUCT,0
TWIN_SWORD,8,9902,2000000,5,ALLITEM_DESTRUCT,0

BLOODWHIP,0,9901,10000,90,BACK_TO_ZERO,0
BLOODWHIP,1,9901,20000,80,BACK_TO_ZERO,0
BLOODWHIP,2,9901,50000,70,BACK_TO_ZERO,0
BLOODWHIP,3,9903,100000,55,BACK_TO_ZERO,0
BLOODWHIP,4,9903,200000,40,BACK_TO_ZERO,0
BLOODWHIP,5,9903,500000,25,BACK_TO_ZERO,0
BLOODWHIP,6,9902,1000000,15,ALLITEM_DESTRUCT,0
BLOODWHIP,7,9902,1500000,10,ALLITEM_DESTRUCT,0
BLOODWHIP,8,9902,2000000,5,ALLITEM_DESTRUCT,0



HELMET,0,9901,10000,95,BACK_TO_ZERO,0
HELMET,1,9901,16000,85,BACK_TO_ZERO,0
HELMET,2,9901,40000,75,BACK_TO_ZERO,0
HELMET,3,9903,80000,60,BACK_TO_ZERO,0
HELMET,4,9903,160000,45,BACK_TO_ZERO,0
HELMET,5,9903,400000,30,BACK_TO_ZERO,0
HELMET,6,9902,800000,20,ALLITEM_DESTRUCT,0
HELMET,7,9902,1200000,15,ALLITEM_DESTRUCT,0
HELMET,8,9902,1600000,10,ALLITEM_DESTRUCT,0

COAT,0,9901,10000,95,BACK_TO_ZERO,0
COAT,1,9901,16000,85,BACK_TO_ZERO,0
COAT,2,9901,40000,75,BACK_TO_ZERO,0
COAT,3,9903,80000,60,BACK_TO_ZERO,0
COAT,4,9903,160000,45,BACK_TO_ZERO,0
COAT,5,9903,400000,30,BACK_TO_ZERO,0
COAT,6,9902,800000,20,ALLITEM_DESTRUCT,0
COAT,7,9902,1200000,15,ALLITEM_DESTRUCT,0
COAT,8,9902,1600000,10,ALLITEM_DESTRUCT,0

PANTS,0,9901,10000,95,BACK_TO_ZERO,0
PANTS,1,9901,16000,85,BACK_TO_ZERO,0
PANTS,2,9901,40000,75,BACK_TO_ZERO,0
PANTS,3,9903,80000,60,BACK_TO_ZERO,0
PANTS,4,9903,160000,45,BACK_TO_ZERO,0
PANTS,5,9903,400000,30,BACK_TO_ZERO,0
PANTS,6,9902,800000,20,ALLITEM_DESTRUCT,0
PANTS,7,9902,1200000,15,ALLITEM_DESTRUCT,0
PANTS,8,9902,1600000,10,ALLITEM_DESTRUCT,0

BOOTS,0,9901,10000,95,BACK_TO_ZERO,0
BOOTS,1,9901,16000,85,BACK_TO_ZERO,0
BOOTS,2,9901,40000,75,BACK_TO_ZERO,0
BOOTS,3,9903,80000,60,BACK_TO_ZERO,0
BOOTS,4,9903,160000,45,BACK_TO_ZERO,0
BOOTS,5,9903,400000,30,BACK_TO_ZERO,0
BOOTS,6,9902,800000,20,ALLITEM_DESTRUCT,0
BOOTS,7,9902,1200000,15,ALLITEM_DESTRUCT,0
BOOTS,8,9902,1600000,10,ALLITEM_DESTRUCT,0

GLOVES,0,9901,10000,95,BACK_TO_ZERO,0
GLOVES,1,9901,16000,85,BACK_TO_ZERO,0
GLOVES,2,9901,40000,75,BACK_TO_ZERO,0
GLOVES,3,9903,80000,60,BACK_TO_ZERO,0
GLOVES,4,9903,160000,45,BACK_TO_ZERO,0
GLOVES,5,9903,400000,30,BACK_TO_ZERO,0
GLOVES,6,9902,800000,20,ALLITEM_DESTRUCT,0
GLOVES,7,9902,1200000,15,ALLITEM_DESTRUCT,0
GLOVES,8,9902,1600000,10,ALLITEM_DESTRUCT,0

GAUNTLET,0,9901,10000,90,BACK_TO_ZERO,0
GAUNTLET,1,9901,16000,80,BACK_TO_ZERO,0
GAUNTLET,2,9901,40000,70,BACK_TO_ZERO,0
GAUNTLET,3,9903,80000,55,BACK_TO_ZERO,0
GAUNTLET,4,9903,160000,40,BACK_TO_ZERO,0
GAUNTLET,5,9903,400000,25,BACK_TO_ZERO,0
