Set Index,Name,Total Drop Ratio,Set Count,Set0_ItemIndex,Set0_DropRatio,Set0_MagicRatio,Set0_NobleRatio,Set0_DivineNobleRatio,Set1_ItemIndex,Set1_DropRatio,Set1_MagicRatio,Set1_NobleRatio,Set1_DivineNobleRatio,Set2_ItemIndex,Set2_DropRatio,Set2_MagicRatio,Set2_NobleRatio,Set2_DivineNobleRatio,Set3_ItemIndex,Set3_DropRatio,Set3_MagicRatio,Set3_NobleRatio,Set3_DivineNobleRatio,Set4_ItemIndex,Set4_DropRatio,Set4_MagicRatio,Set4_NobleRatio,Set4_DivineNobleRatio,Set5_ItemIndex,Set5_DropRatio,Set5_MagicRatio,Set5_NobleRatio,Set5_DivineNobleRatio,Set6_ItemIndex,Set6_DropRatio,Set6_MagicRatio,Set6_NobleRatio,Set6_DivineNobleRatio,Set7_ItemIndex,Set7_DropRatio,Set7_MagicRatio,Set7_NobleRatio,Set7_DivineNobleRatio,Set8_ItemIndex,Set8_DropRatio,Set8_MagicRatio,Set8_NobleRatio,Set8_DivineNobleRatio,Set9_ItemIndex,Set9_DropRatio,Set9_MagicRatio,Set9_NobleRatio,Set9_DivineNobleRatio,Set10_ItemIndex,Set10_DropRatio,Set10_MagicRatio,Set10_NobleRatio,Set10_DivineNobleRatio,Set11_ItemIndex,Set11_DropRatio,Set11_MagicRatio,Set11_NobleRatio,Set11_DivineNobleRatio,Set12_ItemIndex,Set12_DropRatio,Set12_MagicRatio,Set12_NobleRatio,Set12_DivineNobleRatio,Set13_ItemIndex,Set13_DropRatio,Set13_MagicRatio,Set13_NobleRatio,Set13_DivineNobleRatio,Set14_ItemIndex,Set14_DropRatio,Set14_MagicRatio,Set14_NobleRatio,Set14_DivineNobleRatio,Set15_ItemIndex,Set15_DropRatio,Set15_MagicRatio,Set15_NobleRatio,Set15_DivineNobleRatio,Set16_ItemIndex,Set16_DropRatio,Set16_MagicRatio,Set16_NobleRatio,Set16_DivineNobleRatio,Set17_ItemIndex,Set17_DropRatio,Set17_MagicRatio,Set17_NobleRatio,Set17_DivineNobleRatio,Set18_ItemIndex,Set18_DropRatio,Set18_MagicRatio,Set18_NobleRatio,Set18_DivineNobleRatio,Set19_ItemIndex,Set19_DropRatio,Set19_MagicRatio,Set19_NobleRatio,Set19_DivineNobleRatio,Set20_ItemIndex,Set20_DropRatio,Set20_MagicRatio,Set20_NobleRatio,Set20_DivineNobleRatio,Set21_ItemIndex,Set21_DropRatio,Set21_MagicRatio,Set21_NobleRatio,Set21_DivineNobleRatio,Set22_ItemIndex,Set22_DropRatio,Set22_MagicRatio,Set22_NobleRatio,Set22_DivineNobleRatio,Set23_ItemIndex,Set23_DropRatio,Set23_MagicRatio,Set23_NobleRatio,Set23_DivineNobleRatio,Set24_ItemIndex,Set24_DropRatio,Set24_MagicRatio,Set24_NobleRatio,Set24_DivineNobleRatio,Set25_ItemIndex,Set25_DropRatio,Set25_MagicRatio,Set25_NobleRatio,Set25_DivineNobleRatio,Set26_ItemIndex,Set26_DropRatio,Set26_MagicRatio,Set26_NobleRatio,Set26_DivineNobleRatio,Set27_ItemIndex,Set27_DropRatio,Set27_MagicRatio,Set27_NobleRatio,Set27_DivineNobleRatio,Set28_ItemIndex,Set28_DropRatio,Set28_MagicRatio,Set28_NobleRatio,Set28_DivineNobleRatio,Set29_ItemIndex,Set29_DropRatio,Set29_MagicRatio,Set29_NobleRatio,Set29_DivineNobleRatio,Set30_ItemIndex,Set30_DropRatio,Set30_MagicRatio,Set30_NobleRatio,Set30_DivineNobleRatio,Set31_ItemIndex,Set31_DropRatio,Set31_MagicRatio,Set31_NobleRatio,Set31_DivineNobleRatio,Set32_ItemIndex,Set32_DropRatio,Set32_MagicRatio,Set32_NobleRatio,Set32_DivineNobleRatio,Set33_ItemIndex,Set33_DropRatio,Set33_MagicRatio,Set33_NobleRatio,Set33_DivineNobleRatio,Set34_ItemIndex,Set34_DropRatio,Set34_MagicRatio,Set34_NobleRatio,Set34_DivineNobleRatio,Set35_ItemIndex,Set35_DropRatio,Set35_MagicRatio,Set35_NobleRatio,Set35_DivineNobleRatio,Set36_ItemIndex,Set36_DropRatio,Set36_MagicRatio,Set36_NobleRatio,Set36_DivineNobleRatio,Set37_ItemIndex,Set37_DropRatio,Set37_MagicRatio,Set37_NobleRatio,Set37_DivineNobleRatio,Set38_ItemIndex,Set38_DropRatio,Set38_MagicRatio,Set38_NobleRatio,Set38_DivineNobleRatio,Set39_ItemIndex,Set39_DropRatio,Set39_MagicRatio,Set39_NobleRatio,Set39_DivineNobleRatio,Set40_ItemIndex,Set40_DropRatio,Set40_MagicRatio,Set40_NobleRatio,Set40_DivineNobleRatio,Set41_ItemIndex,Set41_DropRatio,Set41_MagicRatio,Set41_NobleRatio,Set41_DivineNobleRatio,Set42_ItemIndex,Set42_DropRatio,Set42_MagicRatio,Set42_NobleRatio,Set42_DivineNobleRatio,Set43_ItemIndex,Set43_DropRatio,Set43_MagicRatio,Set43_NobleRatio,Set43_DivineNobleRatio,Set44_ItemIndex,Set44_DropRatio,Set44_MagicRatio,Set44_NobleRatio,Set44_DivineNobleRatio,Set45_ItemIndex,Set45_DropRatio,Set45_MagicRatio,Set45_NobleRatio,Set45_DivineNobleRatio,Set46_ItemIndex,Set46_DropRatio,Set46_MagicRatio,Set46_NobleRatio,Set46_DivineNobleRatio,Set47_ItemIndex,Set47_DropRatio,Set47_MagicRatio,Set47_NobleRatio,Set47_DivineNobleRatio,Set48_ItemIndex,Set48_DropRatio,Set48_MagicRatio,Set48_NobleRatio,Set48_DivineNobleRatio,Set49_ItemIndex,Set49_DropRatio,Set49_MagicRatio,Set49_NobleRatio,Set49_DivineNobleRatio
1,2 레벨 아이템,100000,6,1,17000,19920,9966,4981,251,17000,19920,9966,4981,501,16000,19920,9966,4981,751,17000,19920,9966,4981,1001,16000,19920,9966,4981,1251,17000,19920,9966,4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3 레벨 아이템,100000,6,151,17000,19880,9928,4961,401,17000,19880,9928,4961,651,16000,19880,9928,4961,901,17000,19880,9928,4961,1151,16000,19880,9928,4961,1401,17000,19880,9928,4961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4 레벨 아이템,100000,6,51,17000,19840,9890,4981,301,17000,19840,9890,4941,551,16000,19840,9890,4941,801,17000,19840,9890,4941,1051,16000,19840,9890,4941,1301,17000,19840,9890,4941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5 레벨 아이템,100000,6,201,17000,19800,9852,4921,451,17000,19800,9852,4921,701,16000,19800,9852,4921,951,17000,19800,9852,4921,1201,16000,19800,9852,4921,1451,17000,19800,9852,4921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6 레벨 아이템,100000,6,101,17000,19760,9814,4901,351,17000,19760,9814,4901,601,16000,19760,9814,4901,851,17000,19760,9814,4901,1101,16000,19760,9814,4901,1351,17000,19760,9814,4901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14 레벨 아이템,100000,6,2,17000,19440,9510,4741,252,17000,19440,9510,4741,502,16000,19440,9510,4741,752,17000,19440,9510,4741,1002,16000,19440,9510,4741,1252,17000,19440,9510,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15 레벨 아이템,100000,6,152,17000,19400,9472,4721,402,17000,19400,9472,4721,652,16000,19400,9472,4721,902,17000,19400,9472,4721,1152,16000,19400,9472,4721,1402,17000,19400,9472,4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16 레벨 아이템,100000,6,52,17000,19360,9434,4701,302,17000,19360,9434,4701,552,16000,19360,9434,4701,802,17000,19360,9434,4701,1052,16000,19360,9434,4701,1302,17000,19360,9434,4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,17 레벨 아이템,100000,6,202,17000,19320,9396,4681,452,17000,19320,9396,4681,702,16000,19320,9396,4681,952,17000,19320,9396,4681,1202,16000,19320,9396,4681,1452,17000,19320,9396,4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18 레벨 아이템,100000,6,102,17000,19280,9358,4661,352,17000,19280,9358,4661,602,16000,19280,9358,4661,852,17000,19280,9358,4661,1102,16000,19280,9358,4661,1352,17000,19280,9358,4661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
