Index,500,501,502,503,504,505,506,507,508,509,510,511,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,700,701,702,703,704,705,706,707,708,709,750,800,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668
Description,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,23 레벨 아이템,34 레벨 아이템,36 레벨 아이템,50 레벨 아이템,30 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,1 레벨 아이템,나이트 - 마스터,나이트 - 특성,나이트 - 보조,헌터 - 아처,헌터 - 컴뱃,헌터 - 헌터,매지션 - 특성,매지션 - 파이어,매지션 - 아이스,매지션 - 라이트닝,서머너 - 비스트,서머너 - 리비도,서머너 - 코스모스,서머너 - 컴뱃,세그날레 - 힐,세그날레 - 저주,세그날레 - 블러드,워리어 - 마샬아츠,워리어 - 혼
TotalCount,19,15,15,11,10,8,10,10,10,9,10,10,6,6,6,6,6,18,24,24,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,19,19,6,10,5,23,29,13,25,12,10,20,11,12,20,5,4,10,8,8,8,8,8,4,15,13,5,12,12,14
ItemIndex,2421,2571,2671,2871,2921,2401,3021,2971,2521,3071,3121,3201,1,151,51,201,101,150,3,3,4,5,251,401,301,451,351,501,651,551,701,601,751,901,801,951,851,1001,1151,1051,1201,1101,1251,1401,1301,1451,1351,3801,3801,3803,4055,55501,55001,3801,3801,3809,3803,4010,62001,4021,4032,4044,4321,4336,4334,4621,4625,4630,4635,4921,4932,4951,4936,5221,5230,5238,5521,5532
StackCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PosX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PosY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
ItemIndex,2422,2572,2672,2872,2922,2402,3022,2972,2522,3072,3122,3202,2,152,52,202,102,149,253,253,254,6,252,402,302,452,352,502,652,552,702,602,752,902,802,952,852,1002,1152,1052,1202,1102,1252,1402,1302,1452,1352,3802,3802,3804,4344,55502,55002,3802,3802,3810,3804,4011,62003,4022,4034,4045,4322,4335,4333,4622,4626,4631,4636,4923,4933,4949,4927,5237,5235,5239,5522,5533
StackCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PosX,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1
