39317.48472,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,No Data,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape
2401,Shave Dagger,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,0,16,17,0,0,0,0,0,0,3,3,0,0,0,25001,0,0,1,0,0
25001,Shave Dagger +1,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3151,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,1,21,22,0,0,0,0,0,0,3,3,0,0,2401,25002,0,0,1,0,0
25002,Shave Dagger +2,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3152,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,2,29,30,0,0,0,0,0,0,3,3,0,0,25001,25003,0,0,1,0,0
25003,Shave Dagger +3,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3153,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,3,40,41,0,0,0,0,0,0,3,3,0,0,25002,25004,0,0,1,0,0
25004,Shave Dagger +4,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3154,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,4,54,55,0,0,0,0,0,0,5,3,0,0,25003,25005,0,0,1,0,0
25005,Shave Dagger +5,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3155,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,5,71,72,0,0,0,0,0,0,5,3,0,0,25004,25006,0,0,1,0,0
25006,Shave Dagger +6,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3156,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,6,91,92,0,0,0,0,0,0,5,3,0,0,25005,25007,0,0,1,0,0
25007,Shave Dagger +7,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3157,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,7,114,115,0,0,0,0,0,0,7,3,0,0,25006,25008,0,0,1,0,0
25008,Shave Dagger +8,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3158,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,8,140,141,0,0,0,0,0,0,7,3,0,0,25007,25009,0,0,1,0,0
25009,Shave Dagger +9,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,1,6,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3159,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,9,169,170,0,0,0,0,0,0,7,3,0,0,25008,0,0,0,1,0,0
2402,Claw Palkata,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3160,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,0,42,42,0,0,0,0,0,0,6,11,0,0,0,25021,0,0,1,0,0
25021,Claw Palkata +1,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3161,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,1,45,47,0,0,0,0,0,0,6,11,0,0,2402,25022,0,0,1,0,0
25022,Claw Palkata +2,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3162,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,2,52,56,0,0,0,0,0,0,6,11,0,0,25021,25023,0,0,1,0,0
25023,Claw Palkata +3,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3163,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,3,63,69,0,0,0,0,0,0,6,11,0,0,25022,25024,0,0,1,0,0
25024,Claw Palkata +4,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3164,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,4,78,86,0,0,0,0,0,0,8,11,0,0,25023,25025,0,0,1,0,0
25025,Claw Palkata +5,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3165,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,5,97,107,0,0,0,0,0,0,8,11,0,0,25024,25026,0,0,1,0,0
25026,Claw Palkata +6,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3166,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,6,120,132,0,0,0,0,0,0,8,11,0,0,25025,25027,0,0,1,0,0
25027,Claw Palkata +7,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3167,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,7,147,161,0,0,0,0,0,0,10,11,0,0,25026,25028,0,0,1,0,0
25028,Claw Palkata +8,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3168,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,8,178,194,0,0,0,0,0,0,10,11,0,0,25027,25029,0,0,1,0,0
25029,Claw Palkata +9,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,7,78,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3169,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,9,213,231,0,0,0,0,0,0,10,11,0,0,25028,0,0,0,1,0,0
2403,Stiletto,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,12,283,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3170,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,0,65,66,0,0,0,0,0,0,8,18,0,0,0,25041,0,0,1,0,0
25041,Stiletto +1,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,12,283,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3171,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,1,68,71,0,0,0,0,0,0,8,18,0,0,2403,25042,0,0,1,0,0
25042,Stiletto +2,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,12,283,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3172,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,2,74,79,0,0,0,0,0,0,8,18,0,0,25041,25043,0,0,1,0,0
25043,Stiletto +3,0,4,0,0,1024,2,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,12,283,1,2,0,0,1,1,0,0,15,35,50,3,2,1,3173,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,2052,2053,2053,2055,2055,3,84,91,0,0,0,0,0,0,8,18,0,0,25042,25044,0,0,1,0,0
