39475.57708,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,5229,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape
3771,Arrow,0,4,15,0,1039,16,0100-0000-0000-0000-0000-0000-0000-0000,1500,0,1,0,5,1,2,200,0,50,150,0,0,0,0,0,0,0,0,5230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3772,Arrow (Large Case),0,4,15,0,1039,16,0100-0000-0000-0000-0000-0000-0000-0000,1500,0,1,0,50,1,2,600,0,50,400,0,0,0,0,0,0,0,0,5231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3786,Bolt,0,4,16,0,1040,16,0100-0000-0000-0000-0000-0000-0000-0000,1500,0,1,0,5,1,2,150,0,30,120,0,0,0,0,0,0,0,0,5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3787,Bolt (Large Case),0,4,16,0,1040,16,0100-0000-0000-0000-0000-0000-0000-0000,1500,0,1,0,50,1,2,500,0,30,300,0,0,0,0,0,0,0,0,5233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3801,Health Potion,0,0,1,0,1,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,320,1,0,50,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3802,Mana Potion,0,0,2,0,2,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,320,1,0,50,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3803,Large Health Potion,0,0,1,0,1,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,1,0,250,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3804,Large Mana Potion,0,0,2,0,2,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,1,0,250,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3805,Great Health Potion,0,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,1,0,1150,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3806,Great Mana Potion,0,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,1,0,1150,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3807,Quantity Health Potion,0,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,1,0,3500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3808,Quantity Mana Potion,0,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,1,0,3500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3809,Enourmous Health Potion,0,0,1,0,46,38,1111-1111-1111-1111-1111-1111-1111-1111,4400,2400,1,102,7150,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3810,Enourmous Mana Potion,0,0,2,0,47,38,1111-1111-1111-1111-1111-1111-1111-1111,4400,2400,1,102,7150,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3811,Extra Health Potion,0,0,1,0,46,38,1111-1111-1111-1111-1111-1111-1111-1111,5600,3200,1,130,11250,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3812,Extra Mana Potion,0,0,2,0,47,38,1111-1111-1111-1111-1111-1111-1111-1111,5600,3200,1,130,11250,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3841,Blue Heart (S),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,204,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3842,Blue Heart (L),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,205,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3843,Red Heart (S),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,206,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
