ItemIndex,Cash,Tab,Deco1,Waring,Type
60083,1000,0,4,0,소모성 / 1개
60084,7000,0,4,0,소모성 / 5개
60040,9900,0,0,1,소모성 / 1개
60047,9900,0,0,1,소모성 / 1개
60048,9900,0,0,1,소모성 / 1개
60050,9900,0,0,1,소모성 / 1개
60052,9900,0,0,1,소모성 / 1개
60054,9900,0,0,1,소모성 / 1개
60079,9900,0,0,1,소모성 / 1개
60035,1000,0,0,1,소모성 / 10개
60041,4500,0,0,1,소모성 / 50개
60042,8500,0,0,1,소모성 / 100개
60009,900,0,0,0,소모성 / 1개
60012,4200,0,0,0,소모성 / 5개
60013,8100,0,0,0,소모성 / 10개
60002,900,0,0,0,소모성 / 1개
60010,4200,0,0,0,소모성 / 5개
60011,8100,0,0,0,소모성 / 10개
60004,1000,0,0,0,소모성 / 1개
60005,1000,0,0,0,소모성 / 1개
60006,1000,0,0,0,소모성 / 1개
60007,1000,0,0,0,소모성 / 1개
60003,3700,0,0,0,소모성 / 1개
60125,700,0,0,0,소모성 / 1개
60126,3200,0,0,0,소모성 / 5개
60127,5900,0,0,0,소모성 / 10개
60082,1000,1,4,1,사용기간: 1일
62501,5900,1,0,0,사용기간: 없음
62502,5900,1,0,0,사용기간: 없음
62503,5900,1,0,0,사용기간: 없음
60008,5700,1,2,1,사용기간: 15일
60014,9900,1,2,1,사용기간: 30일
60015,17800,1,2,1,사용기간: 60일
60016,25300,1,2,1,사용기간: 90일
60039,19000,1,0,1,소모성 / 1개
62600,1500,2,4,0,500개
62602,1500,2,4,0,500개
62601,5200,2,4,0,2500개
62603,5200,2,4,0,2500개
60055,300,2,0,0,300개
60057,300,2,0,0,300개
60056,700,2,0,0,1000개
60058,700,2,0,0,1000개
60067,2100,2,0,0,5000개
60068,2100,2,0,0,5000개
60059,550,2,0,0,300개
60061,550,2,0,0,300개
60060,900,2,0,0,1000개
60062,900,2,0,0,1000개
60063,1300,2,0,0,1000개
60069,3100,2,0,0,5000개
60065,1300,2,0,0,1000개
60070,3100,2,0,0,5000개
60064,4500,2,0,0,5000개
60066,4500,2,0,0,5000개
60019,200,2,0,0,300개
60021,200,2,0,0,300개
60020,500,2,0,0,1000개
60022,500,2,0,0,1000개
60031,1800,2,0,0,5000개
60032,1800,2,0,0,5000개
60023,400,2,0,0,300개
60025,400,2,0,0,300개
60024,700,2,0,0,1000개
60026,700,2,0,0,1000개
60033,2800,2,0,0,5000개
60034,2800,2,0,0,5000개
60027,800,2,0,0,1000개
60029,800,2,0,0,1000개
60028,3800,2,0,0,5000개
60030,3800,2,0,0,5000개
60102,1200,2,0,1,1000개
60103,5100,2,0,1,5000개
60105,1200,2,0,1,1000개
60106,5100,2,0,1,5000개
60108,1800,2,0,1,1000개
60109,6300,2,0,1,5000개
60111,1800,2,0,1,1000개
60112,6300,2,0,1,5000개
