Item Index,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,No Data,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,DwCashItemCost,CashItemUsePeriod,CashItemSell,AddExpRate,AddDropItemRate,EventType,PeriodBreak,Belong,NextShape
60001,Forbidden Split,4,0,11,0,11,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0
60002,Soul of Alchemist,4,1,2,0,258,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,1,0,0
60003,Master's Mistake,4,0,10,0,10,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,1,0,0,0,1,0,0
60004,Strength Regenerator,4,0,6,0,6,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,0,0,1,0,0
60005,Health Regenerator,4,0,7,0,7,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,0,0,1,0,0
60006,Dexterity Regenerator,4,0,8,0,8,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,0,0,1,0,0
60007,Spirit Regenerator,4,0,9,0,9,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,1,0,0,0,1,0,0
60008,Veteran's Amulet 15,4,6,0,0,1536,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,1296000,1,0.2,0,0,1,0,0
60009,Blacksmith's Talisman,4,1,1,0,257,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,1,0,0
60010,Soul of Alchemist 5,4,1,2,0,258,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,5239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,1,0,0,0,1,0,0
