BrickUID,BrickIndex,Revival,RegenCycle,Direction,Location_X,Location_Y
101,36088,0,0,180,365.988,41.199
102,36050,0,0,90,471.808,100.491
103,36050,0,0,89,479.668,383.648
104,36088,0,0,359,348.476,463.708
105,36051,0,0,270,358.614,101.977
106,36052,0,0,269,450.279,39.955
107,36053,0,0,179,407.357,133.406
108,36054,0,0,179,484.807,161.937
109,36055,0,0,178,489.635,241.021
110,36056,0,0,0,442.581,223.16
111,36057,0,0,180,437.838,418.444
112,36058,0,0,359,381.681,407.695
113,36059,0,0,359,423.902,325.813
114,36060,0,0,0,345.353,382.76
115,36061,0,0,270,332.932,308.834
116,36062,0,0,0,386.076,321.427
117,36063,0,0,50,348.732,230.52
118,36064,0,0,51,268.234,162.863
119,36065,0,0,233,248.155,144.914
120,36072,0,0,181,219.25,56.84
121,36073,0,0,0,187.354,184.572
122,36076,0,0,0,73.457,323.957
123,36077,0,0,0,45.447,448.677
124,36078,0,0,181,140.112,281.678
125,36079,0,0,93,177.279,467.507
126,36080,0,0,181,198.865,290.201
127,36081,0,0,91,156.654,391.965
128,36082,0,0,272,159.974,392.134
129,36083,0,0,269,183.345,406.871
130,36084,0,0,90,193.255,391.962
131,36085,0,0,91,207.521,391.991
132,36087,0,0,92,196.223,392.009
133,36083,0,0,269,183.533,391.995
134,36083,0,0,272,183.409,377.066
135,36086,0,0,92,212.845,392.167
136,36089,0,0,220,249.806,142.715
137,36089,0,0,251,246.363,146.906
138,36090,0,0,121,271.969,158.401
139,36090,0,0,65,264.194,167.233
140,36090,0,0,9,345.794,234.176
141,36090,0,0,329,353.829,225.126
142,36093,0,0,90,222.177,392.457
