BrickUID,BrickIndex,Revival,RegenCycle,Direction,Location_X,Location_Y
301,35001,0,0,90,275.863,339.955
302,35002,0,0,90,372.015,339.992
303,35003,0,0,0,323.984,388.041
304,35004,0,0,90,372.077,403.932
305,35005,0,0,270,275.924,404.176
306,35006,0,0,180,324.088,452.198
307,35007,0,0,269,260.539,123.051
308,35008,0,0,180,285.409,83.692
309,35009,0,0,180,308.473,83.762
310,35010,0,0,270,339.033,118.518
311,35011,0,0,269,338.962,144.415
312,35012,0,0,0,377.994,59.113
313,35013,0,0,90,410.369,73.979
314,35013,0,0,90,391.234,123.048
