Count,23
Index,Name
0,..\Map\00_Braiken_Castle\m000.mal
1,..\Map\01_North_Ares\m001.mal
2,..\Map\02_Norak\m002.mal
3,..\Map\03_Deneb\m003.mal
5,..\Map\05_Haihaff\m005.mal
6,..\Map\06_Parca_Temple\m006.mal
7,..\Map\07_Loa_Castle\m007.mal
8,..\Map\08_North_Morte\m008.mal
10,..\Map\10_Castor_Dungeon\m010.mal
11,..\Map\11_Crevasse\m011.mal
12,..\Map\12_Crespo\m012.mal
13,..\Map\13_Draco\m013.mal
14,..\Map\14_Norak_2nd\m014.mal
15,..\Map\15_Castor_2nd\m015.mal
16,..\Map\16_Prison\m016.mal
17,..\Map\17_Requies\m017.mal
18,..\Map\18_Avalon\m018.mal
19,..\Map\19_Python\m019.mal
20,..\Map\20_Under_Python\m020.mal
21,..\Map\21_Under_Python2\m021.mal
22,..\Map\22_Undo_Stadion\m022.mal
